SVC Results:
Attributes: ('fixed acidity',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity',), Accuracy: 0.76769, Precision: 0.59040, Recall: 0.76769
Attributes: ('citric acid',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('residual sugar',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('chlorides',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('free sulfur dioxide',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('total sulfur dioxide',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('density',), Accuracy: 0.76923, Precision: 0.72054, Recall: 0.76923
Attributes: ('pH',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('sulphates',), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('alcohol',), Accuracy: 0.78000, Precision: 0.72314, Recall: 0.78000
Attributes: ('fixed acidity', 'volatile acidity'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('fixed acidity', 'citric acid'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('fixed acidity', 'residual sugar'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('fixed acidity', 'chlorides'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('fixed acidity', 'free sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('fixed acidity', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('fixed acidity', 'density'), Accuracy: 0.77000, Precision: 0.73715, Recall: 0.77000
Attributes: ('fixed acidity', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('fixed acidity', 'sulphates'), Accuracy: 0.77077, Precision: 0.74730, Recall: 0.77077
Attributes: ('fixed acidity', 'alcohol'), Accuracy: 0.78000, Precision: 0.72277, Recall: 0.78000
Attributes: ('volatile acidity', 'citric acid'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'residual sugar'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'chlorides'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'free sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'density'), Accuracy: 0.77154, Precision: 0.71127, Recall: 0.77154
Attributes: ('volatile acidity', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'alcohol'), Accuracy: 0.78462, Precision: 0.73115, Recall: 0.78462
Attributes: ('citric acid', 'residual sugar'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'chlorides'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'free sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'density'), Accuracy: 0.76923, Precision: 0.72054, Recall: 0.76923
Attributes: ('citric acid', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'alcohol'), Accuracy: 0.78308, Precision: 0.73037, Recall: 0.78308
Attributes: ('residual sugar', 'chlorides'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('residual sugar', 'free sulfur dioxide'), Accuracy: 0.76923, Precision: 0.62868, Recall: 0.76923
Attributes: ('residual sugar', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('residual sugar', 'density'), Accuracy: 0.78077, Precision: 0.72938, Recall: 0.78077
Attributes: ('residual sugar', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('residual sugar', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('residual sugar', 'alcohol'), Accuracy: 0.78154, Precision: 0.72530, Recall: 0.78154
Attributes: ('chlorides', 'free sulfur dioxide'), Accuracy: 0.76923, Precision: 0.62868, Recall: 0.76923
Attributes: ('chlorides', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('chlorides', 'density'), Accuracy: 0.76846, Precision: 0.68841, Recall: 0.76846
Attributes: ('chlorides', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('chlorides', 'sulphates'), Accuracy: 0.76615, Precision: 0.63968, Recall: 0.76615
Attributes: ('chlorides', 'alcohol'), Accuracy: 0.78692, Precision: 0.73810, Recall: 0.78692
Attributes: ('free sulfur dioxide', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('free sulfur dioxide', 'density'), Accuracy: 0.77538, Precision: 0.78563, Recall: 0.77538
Attributes: ('free sulfur dioxide', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('free sulfur dioxide', 'sulphates'), Accuracy: 0.77000, Precision: 0.78529, Recall: 0.77000
Attributes: ('free sulfur dioxide', 'alcohol'), Accuracy: 0.78692, Precision: 0.74121, Recall: 0.78692
Attributes: ('total sulfur dioxide', 'density'), Accuracy: 0.77154, Precision: 0.71859, Recall: 0.77154
Attributes: ('total sulfur dioxide', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('total sulfur dioxide', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('total sulfur dioxide', 'alcohol'), Accuracy: 0.77462, Precision: 0.71289, Recall: 0.77462
Attributes: ('density', 'pH'), Accuracy: 0.77154, Precision: 0.70646, Recall: 0.77154
Attributes: ('density', 'sulphates'), Accuracy: 0.77077, Precision: 0.71015, Recall: 0.77077
Attributes: ('density', 'alcohol'), Accuracy: 0.77769, Precision: 0.71946, Recall: 0.77769
Attributes: ('pH', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('pH', 'alcohol'), Accuracy: 0.78000, Precision: 0.72292, Recall: 0.78000
Attributes: ('sulphates', 'alcohol'), Accuracy: 0.78154, Precision: 0.72796, Recall: 0.78154
Attributes: ('volatile acidity', 'residual sugar', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'residual sugar', 'density'), Accuracy: 0.78538, Precision: 0.74068, Recall: 0.78538
Attributes: ('volatile acidity', 'residual sugar', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'residual sugar', 'sulphates'), Accuracy: 0.76769, Precision: 0.59040, Recall: 0.76769
Attributes: ('volatile acidity', 'residual sugar', 'alcohol'), Accuracy: 0.78385, Precision: 0.73013, Recall: 0.78385
Attributes: ('volatile acidity', 'chlorides', 'free sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'chlorides', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'chlorides', 'density'), Accuracy: 0.77692, Precision: 0.73225, Recall: 0.77692
Attributes: ('volatile acidity', 'chlorides', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'chlorides', 'sulphates'), Accuracy: 0.76769, Precision: 0.63963, Recall: 0.76769
Attributes: ('volatile acidity', 'chlorides', 'alcohol'), Accuracy: 0.78462, Precision: 0.73185, Recall: 0.78462
Attributes: ('volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'free sulfur dioxide', 'density'), Accuracy: 0.77538, Precision: 0.75644, Recall: 0.77538
Attributes: ('volatile acidity', 'free sulfur dioxide', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'free sulfur dioxide', 'sulphates'), Accuracy: 0.77000, Precision: 0.78529, Recall: 0.77000
Attributes: ('volatile acidity', 'free sulfur dioxide', 'alcohol'), Accuracy: 0.78923, Precision: 0.74614, Recall: 0.78923
Attributes: ('volatile acidity', 'total sulfur dioxide', 'density'), Accuracy: 0.77538, Precision: 0.72911, Recall: 0.77538
Attributes: ('volatile acidity', 'total sulfur dioxide', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'total sulfur dioxide', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('volatile acidity', 'total sulfur dioxide', 'alcohol'), Accuracy: 0.78154, Precision: 0.72856, Recall: 0.78154
Attributes: ('volatile acidity', 'density', 'pH'), Accuracy: 0.77462, Precision: 0.72060, Recall: 0.77462
Attributes: ('volatile acidity', 'density', 'sulphates'), Accuracy: 0.77538, Precision: 0.73913, Recall: 0.77538
Attributes: ('volatile acidity', 'density', 'alcohol'), Accuracy: 0.78308, Precision: 0.72888, Recall: 0.78308
Attributes: ('volatile acidity', 'pH', 'sulphates'), Accuracy: 0.76923, Precision: 0.78483, Recall: 0.76923
Attributes: ('volatile acidity', 'pH', 'alcohol'), Accuracy: 0.78615, Precision: 0.73446, Recall: 0.78615
Attributes: ('volatile acidity', 'sulphates', 'alcohol'), Accuracy: 0.78846, Precision: 0.74040, Recall: 0.78846
Attributes: ('citric acid', 'residual sugar', 'chlorides'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'residual sugar', 'free sulfur dioxide'), Accuracy: 0.76923, Precision: 0.62868, Recall: 0.76923
Attributes: ('citric acid', 'residual sugar', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'residual sugar', 'density'), Accuracy: 0.78615, Precision: 0.74314, Recall: 0.78615
Attributes: ('citric acid', 'residual sugar', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'residual sugar', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'residual sugar', 'alcohol'), Accuracy: 0.78462, Precision: 0.73185, Recall: 0.78462
Attributes: ('citric acid', 'chlorides', 'free sulfur dioxide'), Accuracy: 0.76923, Precision: 0.62868, Recall: 0.76923
Attributes: ('citric acid', 'chlorides', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'chlorides', 'density'), Accuracy: 0.76846, Precision: 0.68809, Recall: 0.76846
Attributes: ('citric acid', 'chlorides', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'chlorides', 'sulphates'), Accuracy: 0.76846, Precision: 0.67842, Recall: 0.76846
Attributes: ('citric acid', 'chlorides', 'alcohol'), Accuracy: 0.78385, Precision: 0.73409, Recall: 0.78385
Attributes: ('citric acid', 'free sulfur dioxide', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'free sulfur dioxide', 'density'), Accuracy: 0.77308, Precision: 0.76182, Recall: 0.77308
Attributes: ('citric acid', 'free sulfur dioxide', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'free sulfur dioxide', 'sulphates'), Accuracy: 0.77000, Precision: 0.78529, Recall: 0.77000
Attributes: ('citric acid', 'free sulfur dioxide', 'alcohol'), Accuracy: 0.79000, Precision: 0.75025, Recall: 0.79000
Attributes: ('citric acid', 'total sulfur dioxide', 'density'), Accuracy: 0.77000, Precision: 0.70415, Recall: 0.77000
Attributes: ('citric acid', 'total sulfur dioxide', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'total sulfur dioxide', 'sulphates'), Accuracy: 0.76615, Precision: 0.59012, Recall: 0.76615
Attributes: ('citric acid', 'total sulfur dioxide', 'alcohol'), Accuracy: 0.78000, Precision: 0.72358, Recall: 0.78000
Attributes: ('citric acid', 'density', 'pH'), Accuracy: 0.77231, Precision: 0.71375, Recall: 0.77231
Attributes: ('citric acid', 'density', 'sulphates'), Accuracy: 0.77077, Precision: 0.71280, Recall: 0.77077
Attributes: ('citric acid', 'density', 'alcohol'), Accuracy: 0.78462, Precision: 0.73348, Recall: 0.78462
Attributes: ('citric acid', 'pH', 'sulphates'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('citric acid', 'pH', 'alcohol'), Accuracy: 0.79000, Precision: 0.74466, Recall: 0.79000
Attributes: ('citric acid', 'sulphates', 'alcohol'), Accuracy: 0.79154, Precision: 0.74729, Recall: 0.79154
Attributes: ('residual sugar', 'chlorides', 'free sulfur dioxide'), Accuracy: 0.76923, Precision: 0.62868, Recall: 0.76923
Attributes: ('residual sugar', 'chlorides', 'total sulfur dioxide'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
Attributes: ('residual sugar', 'chlorides', 'density'), Accuracy: 0.78308, Precision: 0.73369, Recall: 0.78308
Attributes: ('residual sugar', 'chlorides', 'pH'), Accuracy: 0.76846, Precision: 0.59053, Recall: 0.76846
